Top 50 in network ppi_network.tsv ranked by MCC method
Rank,Name,Score
1,CXCL8,1.5511211933413215E25
2,CXCL10,1.5511211932238722E25
3,CXCL9,1.5511211928253987E25
4,CXCL1,1.551121188952905E25
5,CCL4,1.5511211514050865E25
6,CCL20,1.5511211327423354E25
7,CXCL2,1.5511210970726296E25
8,CX3CL1,1.5511210910800394E25
9,CXCL13,1.551121073365449E25
10,CXCL11,1.551121019324731E25
11,CXCR2,1.5511210065229901E25
12,PF4,1.5511210050202358E25
13,CXCL3,1.5511210050110429E25
14,CXCL6,1.5511210047264474E25
15,AGT,1.551121004553486E25
16,C3,1.55112100451308E25
17,NPY,1.5511210043687988E25
18,ANXA1,1.5511210043686674E25
19,FPR1,1.55112100433535E25
20,APLNR,1.5511210043332294E25
21,GPR183,1.5511210043330992E25
22,GPSM3,1.5511210043330986E25
22,HCAR3,1.5511210043330986E25
22,P2RY13,1.5511210043330986E25
22,PNOC,1.5511210043330986E25
22,NPY1R,1.5511210043330986E25
27,ICAM1,1.88593269543127245E18
28,ITGAX,1.88274862384643251E18
29,STAT3,1.88181390497863194E18
30,CD86,1.86819092884045594E18
31,IL1B,1.85886057564561818E18
32,CD40,1.85413715092600986E18
33,SELL,1.73755243673135181E18
34,PTPRC,1.66839118492389094E18
35,CCL2,1.55293041601144422E18
36,STAT1,1.19055604694004992E18
37,CD80,9.6263414056824179E17
38,CTLA4,9.6155285597047104E17
39,VCAM1,9.5255669107624064E17
40,GPR29,9.35292719267808E17
41,MMP9,9.2571157505324659E17
42,IDO1,8.232694467470688E17
43,CD274,5.8899248131946227E17
44,CCL11,3.3673257748256691E17
45,CD44,2.72120839864792288E17
46,CCL22,1.44660443274552256E17
47,GZMB,2.7737277789834888E16
48,IL2RA,2.60470208780318E16
49,CASP1,1.4726420533731244E16
50,TNFRSF1B,1.4047740565694886E16
