Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Secreted	17	44.73684210526316	8.218396620502786E-8	FDCSP, ADGRF1, S100A8, EGFL6, MMP9, FAM3B, MZB1, S100A9, CHI3L1, CHI3L2, C4BPA, DEFB4A, CFP, CXCL13, SERPINA3, LTF, PLA2G2D	38	1965	20581	4.6856434980581225	9.204562229081503E-6	9.204562229081503E-6	9.316194061748106E-5
UP_KEYWORDS	Immunity	9	23.684210526315788	2.3831137310611948E-6	CFP, S100A8, CLEC4E, FGR, S100A9, LTF, C4BPA, FCAMR, ZBP1	38	500	20581	9.748894736842106	2.668734388584504E-4	1.334456232964243E-4	0.0027014133075820013
GOTERM_CC_DIRECT	GO:0005615~extracellular space	13	34.21052631578947	4.263368522783601E-6	CFP, S100A8, EGFL6, CXCL13, MMP9, FAM3B, S100A9, CHI3L1, SERPINA3, LTF, CHI3L2, C4BPA, DEFB4A	36	1347	18224	4.885589375567103	2.387206479039783E-4	2.387206479039783E-4	0.004209730425497327
GOTERM_CC_DIRECT	GO:0005576~extracellular region	14	36.84210526315789	4.392106113269194E-6	FDCSP, CFP, ADGRF1, S100A8, CXCL13, MMP9, FAM3B, MZB1, S100A9, SERPINA3, LTF, C4BPA, DEFB4A, PLA2G2D	36	1610	18224	4.401932367149759	2.459282371723992E-4	1.2297167960317879E-4	0.004336845871144579
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	8	21.052631578947366	7.267193834785484E-6	S100A8, CXCL13, S100A9, SERPINA3, CHI3L1, VNN1, PLA2G2D, TNIP3	34	379	16792	10.424957318019556	0.001844171363651781	0.001844171363651781	0.009463940351484013
GOTERM_BP_DIRECT	GO:0042742~defense response to bacterium	6	15.789473684210526	8.75088521958606E-6	CFP, S100A8, CLEC4E, CXCL13, S100A9, DEFB4A	34	145	16792	20.436511156186615	0.002220266125982695	0.0011107499457122527	0.011396024234411328
GOTERM_BP_DIRECT	GO:0045087~innate immune response	8	21.052631578947366	1.6506527629087222E-5	S100A8, CLEC4E, FGR, S100A9, VNN1, DEFB4A, C4BPA, ZBP1	34	430	16792	9.188508891928866	0.004183915556367657	0.001396588069028204	0.02149497039752868
UP_SEQ_FEATURE	signal peptide	18	47.368421052631575	1.97829787081798E-5	FDCSP, ADGRF1, EGFL6, MMP9, FAM3B, MZB1, CHI3L1, CHI3L2, C4BPA, DEFB4A, FCRL5, FCAMR, CFP, CXCL13, SERPINA3, LTF, VNN1, PLA2G2D	37	3346	20063	2.9170288040580927	0.0035349256040594357	0.0035349256040594357	0.02434225646590349
UP_KEYWORDS	Antimicrobial	5	13.157894736842104	4.144377395180191E-5	S100A8, S100A9, CHI3L1, LTF, DEFB4A	38	108	20581	25.07431773879142	0.004631042371322391	0.0015460698906741843	0.04696971196913591
UP_KEYWORDS	Innate immunity	6	15.789473684210526	9.873812094633657E-5	CFP, S100A8, FGR, S100A9, C4BPA, ZBP1	38	261	20581	12.45069570477919	0.010998287227178216	0.0027609853342444035	0.11187031928563407
GOTERM_BP_DIRECT	GO:0002544~chronic inflammatory response	3	7.894736842105263	1.3367320852769514E-4	S100A8, CXCL13, VNN1	34	9	16792	164.62745098039218	0.033385254307872314	0.008452887852935853	0.1739480750340805
UP_KEYWORDS	Inflammatory response	5	13.157894736842104	1.5623092717558648E-4	S100A8, CXCL13, S100A9, CHI3L1, TNIP3	38	152	20581	17.815962603878116	0.01734700851763238	0.0034937288450015425	0.17695710756144845
UP_KEYWORDS	Glycoprotein	19	50.0	3.327270624185292E-4	FDCSP, ADGRF1, DUOXA2, DUOXA1, EGFL6, MMP9, FAM3B, CHI3L1, CHI3L2, C4BPA, FCRL5, FCAMR, CFP, CLEC4E, SERPINA3, LTF, VNN1, SLC4A4, PLA2G2D	38	4551	20581	2.2611513952977367	0.03658559435425213	0.0061926844608116705	0.3765243809497276
UP_KEYWORDS	Signal	18	47.368421052631575	3.697602767686205E-4	FDCSP, ADGRF1, EGFL6, MMP9, FAM3B, MZB1, CHI3L1, CHI3L2, C4BPA, DEFB4A, FCRL5, FCAMR, CFP, CXCL13, SERPINA3, LTF, VNN1, PLA2G2D	38	4160	20581	2.3434843117408906	0.040574690157750615	0.0058997859854146295	0.41835228424307314
