#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD86	CTLA4	4440320	4438004	9606.ENSP00000332049	9606.ENSP00000303939	0	0	0	0	0.130	0.899	0.900	0.963	0.999
ITGAL	ICAM1	4441903	4435501	9606.ENSP00000349252	9606.ENSP00000264832	0	0	0	0	0.090	0.887	0.900	0.932	0.999
ITGB2	ITGAL	4446737	4441903	9606.ENSP00000380948	9606.ENSP00000349252	0	0	0	0	0.418	0.892	0.900	0.866	0.999
COL1A2	COL1A1	4437383	4433346	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0.443	0.958	0.991	0.454	0.900	0.948	0.999
PPARG	PPARGC1A	4436745	4435507	9606.ENSP00000287820	9606.ENSP00000264867	0	0	0	0	0	0.974	0.900	0.800	0.999
GUCY1A3	GUCY1B3	4437299	4435431	9606.ENSP00000296518	9606.ENSP00000264424	0	0	0.374	0.797	0.680	0.993	0.900	0.950	0.999
IRS1	INSR	4438085	4437994	9606.ENSP00000304895	9606.ENSP00000303830	0	0	0	0	0.061	0.939	0.900	0.862	0.999
PLAU	PLAUR	4444017	4440945	9606.ENSP00000361850	9606.ENSP00000339328	0	0	0	0	0.221	0.723	0.900	0.967	0.999
S100A9	S100A8	4443166	4443164	9606.ENSP00000357727	9606.ENSP00000357722	0	0	0	0.801	0.995	0.877	0.900	0.882	0.999
CTLA4	CD80	4438004	4435403	9606.ENSP00000303939	9606.ENSP00000264246	0	0	0	0	0.086	0.882	0.900	0.968	0.999
KMO	KYNU	4442693	4435389	9606.ENSP00000355517	9606.ENSP00000264170	0.185	0.772	0.395	0	0.432	0	0.900	0.957	0.999
VEGFC	KDR	4451445	4435337	9606.ENSP00000480043	9606.ENSP00000263923	0	0	0	0	0.059	0.889	0.900	0.914	0.999
RAC2	ARHGDIB	4434085	4433442	9606.ENSP00000249071	9606.ENSP00000228945	0	0	0	0	0.639	0.941	0.900	0.573	0.998
C1R	C1S	4449877	4447198	9606.ENSP00000438615	9606.ENSP00000385035	0	0	0	0.879	0.874	0.870	0.900	0.958	0.998
CYBB	NCF2	4445083	4442905	9606.ENSP00000367851	9606.ENSP00000356505	0	0	0	0	0.384	0.379	0.900	0.962	0.998
CFB	C3	4448835	4433951	9606.ENSP00000416561	9606.ENSP00000245907	0	0	0	0	0.310	0.873	0.900	0.869	0.998
